term	ttf	df
stehen 	48986214	1744874
victoria 	48983712	4134432
campaign 	48975390	3635930
ev 	48972647	3677133
351 	48966611	7290831
文学 	48959805	505183
tex 	48946688	2528947
juni 	48944220	1767615
transactions 	48941150	4265875
酒 	48930873	1025940
tribunal 	48913104	3145892
findet 	48905645	1669088
ツ 	48891945	553141
billion 	48877729	2119662
ر 	48858088	361546
hombre 	48857118	1153348
distinction 	48835004	6400504
minnesota 	48831546	3156629
序 	48831399	1045130
letzten 	48822352	1819834
virus 	48818133	1626986
344 	48812677	7379916
bie 	48801254	1570047
衆 	48799124	738082
هو 	48796891	325700
philip 	48788082	4398678
しめ 	48784538	491355
matrix 	48779492	2196918
bird 	48761190	4247880
errors 	48744879	5026708
1.00 	48739295	3075646
dentro 	48731667	1682907
政策 	48725824	655009
341 	48706089	7348625
qu'une 	48697688	1724264
uk 	48695909	2444947
cook 	48671648	4626946
端 	48666216	1108091
frederick 	48661228	3772070
infection 	48651508	2065967
ora 	48645337	3273216
requested 	48637712	4563874
はい 	48637176	496405
办 	48632410	411048
sister 	48627888	4402286
410 	48621129	6613475
liver 	48617802	2608212
養 	48616313	846707
spectrum 	48603246	2598965
tone 	48598820	5718831
trace 	48598657	6255832
constitutional 	48598151	2982488
films 	48595434	2680620
weg 	48594446	2169758
据 	48578612	764508
午 	48561562	1009083
avril 	48533068	1545308
powerful 	48532372	5503382
先生 	48526930	825375
ogni 	48512419	733481
finished 	48501637	5527019
390 	48494706	6858679
joined 	48490043	5470524
libraries 	48488505	4239064
lich 	48488165	2192577
1875 	48460704	4422071
tag 	48435261	3572514
figs 	48433271	2062238
攻 	48425438	1021117
ที 	48424219	41724
jack 	48421882	4210103
既 	48396717	964695
accounting 	48371360	3571722
township 	48367190	1687254
sm 	48345347	3644289
刻 	48314346	1084225
naturally 	48311773	5999842
sole 	48309346	6406524
zo 	48297446	4263997
repeated 	48289564	6220273
colonial 	48286826	3611898
342 	48285525	7356582
fight 	48276192	4630564
織 	48267600	796819
profession 	48250032	5131254
出版 	48245993	833197
symptoms 	48243720	2648455
lab 	48238665	2809068
optical 	48222834	2037008
tum 	48212113	3612207
sang 	48202635	4121695
translation 	48202215	4459275
sujet 	48185252	1828130
maison 	48182114	2037062
achieved 	48177313	5456443
tendency 	48177158	5528934
0.6 	48169590	2844964
もな 	48150076	491880
n'en 	48147971	1662064
deze 	48135141	279169
outstanding 	48112354	4029106
记 	48098957	408112
sulla 	48066972	1176477
involving 	48051637	5335135
enable 	48039282	5847599
writers 	48004233	4397216
tobacco 	48003438	3350332
较 	47996920	516876
doute 	47971311	1636548
dios 	47966965	1584465
十七 	47942159	925251
lage 	47933136	3437163
415 	47924476	6545031
hacia 	47923007	1103360
的一 	47910213	549818
l'un 	47900578	1858145
bibliography 	47896971	3112108
ты 	47895940	731904
革命 	47895540	611520
visible 	47892838	6612927
εν 	47860492	142104
اا 	47853251	229135
wales 	47848520	3118127
entwicklung 	47844139	1782252
lei 	47805312	3479883
vista 	47802224	3102419
1865 	47790683	4147792
allfields:date1 	47779456	9186711
allfieldsProper:date1 	47779456	9186711
cer 	47757154	7182539
6d 	47747283	1581762
man's 	47733092	5094229
3.0 	47725489	3183405
gradually 	47712807	5812898
价 	47708566	365997
widely 	47699482	6096923
appropriation 	47699465	2319987
publishing 	47697927	4831465
werde 	47697637	1557191
television 	47696375	2675604
347 	47694881	7397162
becoming 	47690148	6430099
pound 	47687299	4089571
buenos 	47682757	2405538
movements 	47676914	5030769
dessus 	47668523	1712882
没有 	47661082	283144
appellant 	47657394	724139
informed 	47653817	5221526
imperial 	47648083	4419787
可能 	47630558	853102
lan 	47614863	6474511
driven 	47611578	5356433
juli 	47609801	1799772
l'homme 	47607838	1882108
defence 	47606341	3142003
ky 	47605620	2528113
operator 	47594639	2931594
milieu 	47586973	2921265
val 	47569050	5203508
延 	47567828	1093529
originally 	47560621	6221961
偶 	47531921	964845
pelo 	47529313	1108202
alt 	47505351	3640586
2.3 	47504657	4131997
いな 	47495367	480729
崎 	47469759	911615
davon 	47468837	1708309
была 	47455211	537156
1861 	47439669	4168454
circular 	47437405	4877505
rain 	47429771	5245516
nada 	47429106	1887246
quebec 	47428882	1946058
democratic 	47425314	2969307
伝 	47422756	470720
theoretical 	47420763	4077416
pris 	47416973	2797204
突 	47414795	1059744
却 	47413952	936472
5,000 	47411535	3855617
超 	47405313	1046058
treat 	47399607	5943025
護 	47387748	793022
adjustment 	47379040	4138180
もあ 	47376856	500430
aunque 	47373705	1070837
recognition 	47370452	5442002
重要 	47354151	833075
ссср 	47343289	444248
wollen 	47337642	1730922
molecular 	47334196	1572891
評 	47329346	782201
mieux 	47313766	1790320
tutto 	47307408	701948
comments 	47306034	4835347
can't 	47259072	3264301
satisfaction 	47258943	5851754
societies 	47253819	3914609
friedrich 	47242886	2711042
1876 	47206230	4246148
呼 	47196105	1085090
部分 	47185231	879633
accurate 	47182550	6169306
separated 	47179057	5928797
に関 	47161162	415989
乎 	47150711	777701
covering 	47139530	6024931
senza 	47129024	711707
draft 	47119035	3923714
leads 	47102050	5961664
compound 	47086802	3653800
characters 	47083061	4067794
抗 	47069500	980244
devoted 	47065503	5940542
equity 	47055195	2406154
taught 	47010129	4888086
lateral 	46992616	3073154
moglich 	46974548	1719202
lorsque 	46964977	1630673
積 	46957871	798848
boards 	46957735	4085545
biol 	46957008	1186410
banking 	46950521	2525223
egalement 	46947375	1586639
terra 	46947248	3208981
autor 	46936886	2317809
1864 	46936814	3911646
experiences 	46931675	5167424
satisfied 	46926066	5565205
357 	46890051	7242662
viele 	46860579	1785281
かり 	46829098	505053
ministre 	46811989	1249023
χ 	46794729	141276
acids 	46790758	1642100
vier 	46781055	2830734
きる 	46754912	495343
lung 	46748974	3268385
mgr 	46741452	1064785
strange 	46733993	5032194
elementary 	46732284	3799941
dollar 	46704225	3946227
宋 	46701577	820461
derecho 	46692938	1059902
历 	46689066	376313
describe 	46671552	6370797
互 	46671039	1075235
import 	46664449	4443571
muscle 	46659017	2282169
springs 	46655663	4321924
emphasis 	46649244	5170084
frequent 	46626127	6593203
furniture 	46614942	3819654
1.8 	46607443	3744443
opportunities 	46601262	4972842
主要 	46598872	781234
beide 	46584984	1842364
surfaces 	46584824	3314732
応 	46577815	482468
への 	46573487	489083
361 	46561454	7130739
acta 	46556670	2839484
graduate 	46555533	3904442
ef 	46528005	5478891
横 	46522048	992840
comte 	46514860	2018767
rey 	46469310	2541497
prendre 	46466330	1721448
405 	46454226	6593284
principe 	46443979	2832049
etant 	46440872	1638647
ng 	46431922	4212229
τον 	46426717	131795
適 	46412725	788989
cite 	46409003	4347090
nationale 	46408984	2635676
nd 	46395950	4784755
toronto 	46391219	2892189
leon 	46383458	4556587
404 	46381237	6441516
identification 	46369621	4721542
359 	46365055	7132104
年度 	46359277	568260
356 	46345121	7148802
voltage 	46337192	1255794
offers 	46334911	5740962
354 	46333603	7153969
abroad 	46333353	4665871
ontario 	46330926	2390476
edited 	46316665	4158461
addressed 	46315128	5394469
substances 	46311228	3243431
imposed 	46307442	5127002
1871 	46302585	4289313
349 	46293870	7252806
accompanied 	46284870	5974996
440 	46250744	6416196
385 	46242774	6963179
3rd 	46240413	3799972
fail 	46239862	6296109
mittel 	46232038	1885161
373 	46229403	7032553
trustees 	46222452	2370544
prepare 	46214171	6890046
d'abord 	46209704	1590002
debate 	46194954	4092840
verschiedenen 	46182134	1730658
consequences 	46172435	5903795
costa 	46169989	3320559
biological 	46167631	2991262
membrane 	46160445	1642521
自然 	46140150	960528
holds 	46134057	6052718
quello 	46128258	625657
kirche 	46114524	1299892
仍 	46088719	716806
naar 	46070757	505028
sagen 	46070204	1799043
wine 	46066636	3880205
gate 	46065926	5373702
ham 	46042179	5002645
3.2 	46040395	3987980
anna 	46034183	4037757
赤 	46033962	1056680
designated 	46031891	4882018
grands 	46013745	2023493
hole 	45999251	4603535
ence 	45995089	5925060
registration 	45994458	2779714
宜 	45983249	1027867
مع 	45982743	334863
謂 	45973575	563150
ear 	45961529	5379509
parmi 	45956676	1827357
statt 	45950283	1921907
fifteen 	45946158	5579696
1877 	45919834	4144234
meg 	45915693	849121
select 	45900996	5565573
きて 	45887336	500621
charter 	45864867	3006116
ji 	45862169	4670830
2,000 	45852385	4096190
violation 	45850422	3253718
им 	45840291	861825
י 	45837980	98549
global 	45836234	2924447
346 	45830784	7210042
ج 	45830741	343905
भी 	45812996	82810
advantages 	45796157	5418186
janvier 	45795844	1492753
衣 	45795654	1048265
増 	45788240	586862
commonwealth 	45786178	3029545
巻 	45784606	545231
feeding 	45782602	3743060
広 	45781437	481641
luis 	45781073	2660982
就是 	45758606	404208
directions 	45758258	6355715
ثم 	45756033	309375
armed 	45748271	4111074
348 	45741249	7194161
investigations 	45735463	4752037
2006 	45727936	1442102
novel 	45726388	4136883
selling 	45686693	4078313
の人 	45686194	490211
领 	45681896	413014
480 	45678938	6257685
傳 	45674572	524705
specimen 	45670551	3347583
kraft 	45660683	2495641
2.4 	45657515	3868341
seule 	45651513	1808448
win 	45647720	6219216
二年 	45634862	913847
构 	45604734	402297
労働 	45590835	305738
espana 	45587545	1304014
bild 	45569113	1895434
remarkable 	45536842	5305087
league 	45530091	3248653
churches 	45526410	3162167
crystal 	45518585	3107540
gun 	45506995	4815979
arrive 	45504458	6099394
fishing 	45501648	3295407
pictures 	45488749	4431577
智 	45487439	1023891
preferred 	45481731	5351742
committees 	45477775	3260742
atmosphere 	45466192	5212165
pueblo 	45458987	1663810
focus 	45457711	4344323
析 	45451942	910957
manuel 	45448001	3177961
ph.d 	45443861	2453720
wi 	45436343	5376468
dai 	45435985	2042092
祖 	45417461	1018281
363 	45403723	7145035
colonies 	45398406	3396311
employ 	45387005	5429619
yr 	45386548	2207364
ul 	45381686	5579293
을 	45375960	62907
させ 	45370744	488390
静 	45361893	889863
favorable 	45354207	5412849
358 	45341790	7066880
histoire 	45337408	2496482
starting 	45328706	5955611
vital 	45319078	6424702
bene 	45309620	4808332
m.d 	45307273	1966075
联 	45306352	497391
五年 	45303133	919955
十九 	45301223	919803
π 	45289021	157536
1862 	45280115	3874919
taxation 	45274814	2714524
かれ 	45251609	503322
revision 	45247204	5459556
prescribed 	45220535	4095133
liabilities 	45214386	1745226
padre 	45203383	1791802
organisation 	45178052	3382251
poet 	45176213	3341659
konig 	45171402	1699069
isolated 	45165857	4923676
farmer 	45143879	3713579
达 	45140972	358768
primera 	45132785	1274063
suivant 	45124728	1635526
publica 	45108565	3817522
played 	45108301	5520209
respective 	45106543	5995653
viz 	45093232	3493100
violence 	45076238	4535889
diagnosis 	45073501	2174373
analyses 	45043310	4122696
shift 	45031843	4674026
slowly 	45026411	5534176
bot 	45021855	3752575
opinions 	45013692	5667847
attended 	45013129	4951662
十年 	45006688	970057
considerations 	45006462	6153012
willing 	45004749	5438238
requirement 	44996787	4173083
attend 	44995961	5709214
sufficiently 	44990955	5825865
督 	44981439	972773
werk 	44975859	1993310
quarterly 	44974908	3969363
lin 	44959347	5890717
幸 	44958902	1080353
0.8 	44949346	2873540
cement 	44935029	3666837
dimensions 	44915407	5080262
decline 	44910741	5277499
tri 	44909536	5778021
simon 	44908315	5156434
после 	44905278	521909
細 	44889482	864648
371 	44875192	6894530
teeth 	44850108	3586225
に於 	44846203	335162
finds 	44835345	5596851
messrs 	44829578	2229017
porter 	44810264	4680391
jobs 	44809712	3205616
varieties 	44808567	3267879
resource 	44797094	3494938
relationships 	44794299	4237378
jewish 	44792428	2221656
4.5 	44774676	4020730
cation 	44768283	6144086
sixth 	44756015	5429860
category 	44751040	4376010
reporting 	44747838	3947464
m.a 	44746305	2578262
controls 	44734183	3886175
尚 	44730942	899864
commonly 	44730902	5679478
inquiry 	44725949	4324005
psychology 	44714867	2573344
horizontal 	44709375	4272095
l'histoire 	44699733	1935726
あら 	44692644	486350
decembre 	44690377	1443303
criteria 	44685656	3657311
consisting 	44676945	5653230
へて 	44651488	507374
1872 	44649661	4134017
1.7 	44635630	3625708
comparative 	44629131	5568365
brothers 	44623465	4576635
366 	44618994	6972798
残 	44618042	906835
試 	44589493	812200
明治 	44587057	579347
doc 	44577129	4274984
营 	44574463	456289
vide 	44572319	4880362
sn 	44564818	3488386
coeur 	44554427	2054263
1111 	44538983	3313100
501 	44538267	5561656
readers 	44535825	4218428
resident 	44533316	4371399
qual 	44532765	2815218
395 	44528941	6738714
novembre 	44512761	1675146
402 	44506924	6391666
1874 	44485451	4059799
dates 	44477907	5868455
significantly 	44475560	3888133
continuing 	44471117	5669738
burden 	44469881	5004302
dopo 	44464340	690937
364 	44459783	6955032
岩 	44454226	898781
儿 	44452049	514964
3o 	44447650	3503268
aout 	44446693	1390773
dean 	44442145	3886020
dicho 	44440121	1136871
provinces 	44434656	3636697
輸 	44428093	717537
correspondence 	44423309	4648226
兄 	44420968	1018554
struggle 	44412074	4410907
spoke 	44411136	4275147
valor 	44394113	2113840
promise 	44392865	5778658
destruction 	44390006	5829134
extending 	44385947	5330572
qualified 	44377368	4452405
portions 	44376490	5479704
ensure 	44373184	4245056
striking 	44372602	5443346
namlich 	44360103	1556108
allgemeinen 	44349761	1794612
fc 	44340848	3621871
調査 	44308403	516173
arrangements 	44305390	5418722
jacob 	44304618	4227275
display 	44303291	4822380
tales 	44291708	4407599
cinq 	44288148	1804555
372 	44275057	6888592
362 	44267200	6984279
3.1 	44265600	4009267
هه 	44253298	276672
munchen 	44253097	1974188
compare 	44224784	6771985
carlos 	44217583	2721689
judges 	44212784	3352858
mc 	44208486	4158764
americans 	44206297	3236016
风 	44195644	480775
neu 	44180911	3916668
douglas 	44162935	3926336
蔵 	44159926	659934
cape 	44141189	3657810
exemple 	44137588	1680435
響 	44137011	828963
uberhaupt 	44106421	1611285
zunachst 	44105749	1493145
かか 	44100276	505794
ee 	44094754	5201891
probability 	44089872	4457135
367 	44078334	7002270
parish 	44074023	2391718
software 	44073463	1254851
369 	44062403	6925596
1873 	44059366	4091875
walk 	44056615	5001824
υ 	44055173	176422
p.o 	44040064	1888736
425 	44026579	6566212
nota 	44012686	3293430
3.3 	44003993	3942796
弟 	44002544	995295
catalogue 	43993781	3820087
roots 	43969132	4574015
aucun 	43962743	1675082
shipping 	43953566	3109848
utility 	43950917	3887489
retirement 	43946141	3047523
jako 	43945022	366494
russell 	43928796	3907078
1863 	43914028	3885348
华 	43912101	452169
considering 	43899538	6174299
rr 	43898401	4541498
quoted 	43892735	4809518
wheel 	43891953	3702862
项 	43889468	458568
па 	43877460	869102
submit 	43876898	4588691
happened 	43876378	5093526
wholly 	43868834	4987427
traite 	43863798	2159610
丸 	43844727	925284
lumber 	43838252	2224741
查 	43827855	667144
divers 	43823086	3096366
nursing 	43817337	2322523
casi 	43816977	1688438
gens 	43813319	3017031
specifically 	43807458	5037234
430 	43784999	6403003
377 	43783168	6909442
negro 	43772408	3213214
紙 	43765177	781135
forte 	43763908	3284585
语 	43763619	347593
answered 	43741860	4869634
sixty 	43729802	4935695
conn 	43721040	2430946
smooth 	43710651	4734025
给 	43704347	385503
bible 	43701438	3310421
momento 	43698292	1776137
ему 	43697059	548690
colleges 	43696034	3568887
independence 	43693264	4610525
403 	43683902	6416376
zinc 	43672660	2338432
waves 	43671643	3739462
grosser 	43668571	2203178
spiritual 	43656996	3213510
misma 	43628959	1118980
reserves 	43609302	3816468
iu 	43603683	4437538
automatic 	43594631	3350507
ions 	43592106	3359219
短 	43584451	1068857
尺 	43579926	995099
europa 	43576269	3180454
beds 	43571763	3546165
classe 	43567788	2244181
5th 	43556442	3842769
curves 	43547228	2809600
duc 	43537726	1854691
اي 	43533182	347603
livres 	43518963	1930652
כי 	43516408	87000
381 	43496180	6813944
pupils 	43488403	2685195
夏 	43485405	1078361
netherlands 	43482415	2570786
队 	43478434	448769
قال 	43466342	265218
行政 	43460025	666252
rec 	43458707	4412989
francois 	43445001	2749644
sleep 	43442248	3943408
遠 	43413090	834305
oak 	43411312	3624889
kleine 	43409248	2067993
wright 	43407239	3989763
pretty 	43394102	4107904
holland 	43353466	4603718
dix 	43352344	2871262
森 	43348934	1045608
tank 	43344996	2842364
watch 	43343154	5111349
かい 	43318632	492439
enterprise 	43313084	4425016
383 	43307250	6849064
ラン 	43302645	457251
dust 	43301605	4362037
らし 	43275706	492442
walker 	43260015	3869851
tension 	43257676	4737223
maar 	43253315	369237
substantially 	43241894	4262913
otto 	43241331	4194128
permission 	43232462	6098241
без 	43205365	685273
virtue 	43204514	4811964
allfields:ucla 	43196790	798875
allfieldsProper:ucla 	43196766	798864
rising 	43183152	5662892
たら 	43176795	475265
voi 	43173938	2215591
premises 	43154385	3190269
lose 	43146701	7021149
kaum 	43138362	1709021
chiefly 	43136754	4570404
escape 	43133488	5613784
sprache 	43116539	1792637
植 	43115956	1048948
寄 	43114995	1048743
accuracy 	43093448	4908982
solar 	43093222	2526585
368 	43091994	6919108
威 	43091984	1063215
choses 	43067751	1812260
moderate 	43064250	4961596
hath 	43064170	1940658
baker 	43053168	3872559
mississippi 	43038696	2739035
categories 	43031955	4631804
losung 	43011865	1386896
aucune 	43005821	1656400
zuruck 	43001412	1642021
target 	42986855	3409376
этом 	42985994	493254
s'en 	42977110	1644745
allfields:6 	42973663	4537320
allfieldsProper:6 	42973663	4537320
exclusive 	42971916	5372186
madame 	42968621	2582140
junior 	42963923	3722762
synthesis 	42961871	2303602
physician 	42954269	3111045
随 	42942623	927914
demonstrated 	42935828	5004638
chloride 	42934848	1637390
marche 	42930431	2193114
libre 	42925809	2872463
visual 	42912225	3342857
comprehensive 	42903189	5337047
qu'en 	42886910	1684066
images 	42872904	3981733
存在 	42862012	797500
classified 	42860654	4636662
399 	42853708	6581708
続 	42840394	479071
bulk 	42837568	4798905
experienced 	42825681	5840836
annee 	42804786	1756284
buch 	42795764	2349613
rivers 	42790609	4159371
gilt 	42790559	2837395
anne 	42784176	3885273
maryland 	42778232	3155741
centers 	42777123	3602099
识 	42775719	385667
复 	42769541	540273
廿 	42760781	616873
intermediate 	42738330	4374866
anni 	42723137	1892859
peru 	42717529	2975311
らは 	42714854	486031
ana 	42704774	6371682
隊 	42701320	720364
排 	42690030	1033238
ts 	42682747	5464016
人的 	42680135	716573
elec 	42670900	3822091
証 	42663967	631486
dental 	42660158	2604271
allfields:5 	42658315	4719217
allfieldsProper:5 	42658315	4719217
是一 	42649282	530471
jeune 	42634471	1773729
のな 	42631345	495342
worker 	42630127	3651744
discovery 	42626227	5072927
periode 	42625645	2500607
discuss 	42624630	5421285
allfields:7 	42622629	4283251
allfieldsProper:7 	42622629	4283251
視 	42622444	811554
秀 	42620996	1054377
徒 	42614421	1014173
ferner 	42614149	1583317
voyage 	42610970	3872230
1850 	42605353	4667573
图 	42591728	421555
constitute 	42591142	5400033
384 	42589109	6738855
presentation 	42584190	5602078
393 	42580353	6660199
てな 	42569913	496781
occupation 	42563241	4993328
primer 	42563169	2629963
heures 	42556994	1443767
touch 	42552550	5495365
limitations 	42545469	4870105
associate 	42532732	4691458
376 	42532370	6774665
الذي 	42530625	221942
lowest 	42502564	5473720
dangerous 	42498801	5174547
calcium 	42497841	1903367
montreal 	42493487	2342422
側 	42488439	833518
vary 	42462358	5699818
1860 	42452475	4463531
陸 	42452249	777507
parole 	42450702	2576156
belle 	42434706	3690340
379 	42433388	6830305
歴 	42428070	752640
cam 	42426413	5810655
piano 	42421026	3006695
د 	42413637	386499
oregon 	42388747	2676237
host 	42386278	4754378
victor 	42382184	5015968
criticism 	42378746	4574676
egypt 	42377949	3074151
rh 	42374596	2723754
lecture 	42372752	4570791
ste 	42357676	4022868
correlation 	42351041	3078915
dom 	42339695	5417498
join 	42338969	5669152
announced 	42334461	4327007
adapted 	42330292	5021593
peculiar 	42308269	5507159
wing 	42297203	4202268
1867 	42287578	4130139
castle 	42281419	3392751
zealand 	42274548	2386995
mano 	42270252	2253807
valid 	42269245	4544411
begins 	42265067	5930846
编 	42247719	456156
412 	42246715	6317356
411 	42244192	6446914
せる 	42241182	493528
chile 	42240309	2330027
pollution 	42237518	2177980
estados 	42236829	1145948
loin 	42233911	2115195
尊 	42232767	1016893
egli 	42220966	723254
achieve 	42195084	5047528
chen 	42194125	3052319
может 	42190696	474012
れと 	42190676	477421
fortune 	42181333	4924653
ay 	42179116	4690429
师 	42167902	422725
羅 	42146530	789766
harris 	42139642	3737321
tubes 	42137246	2783440
l'eglise 	42126107	1214412
中に 	42110123	490032
يا 	42107766	350713
recommendations 	42100834	3835535
378 	42075643	6735284
algunos 	42065705	1143325
similarly 	42045364	5351685
leadership 	42043678	3355474
whenever 	42028438	5900683
surgery 	42021180	1939645
fatto 	42010034	634814
374 	42001535	6793841
l'auteur 	42001285	1448091
中心 	41999314	921057
tab 	41982912	2259372
階 	41980589	766007
1848 	41973137	4136900
tn 	41960992	4466084
dairy 	41960014	2205472
one's 	41953931	4372471
которые 	41947741	535325
guilty 	41937252	3555474
月十 	41935640	773203
admission 	41907816	4063978
portugal 	41898914	3431153
obligation 	41894106	4413170
identical 	41893893	5230215
campo 	41890914	2474733
650 	41880694	5490612
entrance 	41879634	4767470
photo 	41875441	3758122
l'a 	41875274	2228830
suddenly 	41871523	4779868
aires 	41871431	2303776
bases 	41864672	5539264
sweden 	41860185	2989518
のに 	41851641	492960
洲 	41851168	938173
yards 	41850928	3430243
од 	41849534	791282
lying 	41812757	5399258
custom 	41797471	4648863
destroyed 	41790482	5295174
чем 	41779702	551226
ourselves 	41770847	4723684
ка 	41770316	825058
mostly 	41745442	5569197
所以 	41744482	831233
famille 	41744337	1778090
星 	41730671	1052785
sollen 	41727636	1692160
memorial 	41719931	4231794
unions 	41716049	2695593
ほと 	41712096	461346
divisions 	41711423	5272787
mesure 	41702623	1752202
ذلك 	41699581	222978
微 	41677156	1063218
collections 	41667255	4223420
herein 	41656210	3910939
objection 	41651183	4133000
genus 	41649131	2191898
382 	41643959	6648430
efter 	41642721	361724
391 	41637174	6566792
acquisition 	41633546	4197661
408 	41631963	6252856
darin 	41629719	1821339
border 	41629349	4422160
herbert 	41627487	4165307
continues 	41621705	6184356
388 	41620276	6633390
414 	41617782	6257491
416 	41616090	6216050
四年 	41614132	886288
fare 	41611200	4077169
पर 	41610562	93758
hospitals 	41609988	3086965
fault 	41605535	4524962
縣 	41603558	451565
问题 	41602803	199300
эти 	41598002	615215
cure 	41584316	5097528
况 	41583026	583193
话 	41570048	382301
drainage 	41566118	2687135
510 	41526798	5615149
を見 	41524984	478751
yard 	41523145	3922856
pod 	41501869	1410665
陽 	41501424	810579
bonne 	41488487	2227812
duration 	41482197	4625452
attempts 	41457739	5955699
elections 	41451032	2712410
هذه 	41437525	236823
tender 	41427319	4511077
turning 	41423802	5743490
pose 	41418162	6757054
certains 	41408439	1690097
hem 	41402400	2773875
austria 	41384415	3236583
ner 	41381325	6574434
lag 	41379870	4104367
morris 	41369405	3733166
gegeben 	41368723	1770373
cabinet 	41351805	3955572
漢 	41351189	748814
skills 	41351176	2649830
vil 	41348123	4114745
100,000 	41339713	3829605
obras 	41335491	1283555
fever 	41324695	3041510
借 	41314206	1025474
带 	41312159	568340
jl 	41286323	3607134
كل 	41277924	328809
seeing 	41269939	5141518
歩 	41263405	754180
歳 	41261821	652043
sh 	41260145	3856230
раз 	41255455	686247
韓 	41254857	724815
voit 	41252885	1840009
出し 	41223744	489443
considerably 	41219069	5583876
387 	41214094	6685158
decree 	41207365	2374099
king's 	41192529	2973223
passenger 	41188236	2473920
诗 	41182211	394507
females 	41175083	2541172
bzw 	41167281	953632
argentina 	41144560	2273443
grades 	41138301	4022307
varied 	41131602	5993619
011 	41125367	2827374
languages 	41124992	3624724
peine 	41120749	1812175
392 	41112757	6550825
supplement 	41093987	5351481
极 	41086687	626826
spite 	41085847	5546069
407 	41080529	6359912
flood 	41060649	4068505
的人 	41049305	611540
460 	41046843	6071731
1868 	41045457	4090306
orleans 	41033544	3489823
わか 	41017185	463077
旧 	41015456	837030
庭 	41013954	1027119
妻 	41004077	978536
concentrations 	41001807	1939919
propose 	40996335	5369796
existe 	40971937	2512555
mettre 	40968987	1665654
decir 	40966198	1049574
multi 	40960143	5486989
笑 	40953977	925423
capt 	40952937	1392153
sinne 	40947338	1790964
巧 	40944429	1026965
ст 	40944064	750845
頁 	40939091	558502
386 	40927563	6608219
れら 	40924902	480213
editorial 	40918726	3842620
kleinen 	40898252	1757276
musical 	40890005	3588907
快 	40889470	994643
tea 	40884304	4597798
總 	40878758	529579
andrew 	40870084	3701060
sonst 	40863608	1631982
标 	40860296	340034
专 	40856146	405465
quarters 	40850661	5052734
fraction 	40849409	4060739
jeg 	40843516	367503
sexual 	40810985	2518187
核 	40800205	927849
wider 	40797755	6143186
maine 	40790620	3572763
ownership 	40789598	3275100
calendar 	40788520	3386953
aujourd'hui 	40783191	1577993
absent 	40781392	5604775
poems 	40767709	2219915
lime 	40760076	3405679
基本 	40754392	782837
representing 	40752448	5824955
他们 	40747528	221645
上の 	40746850	495690
1866 	40727730	4016511
本の 	40725496	480395
telle 	40709354	2016293
せん 	40685171	481414
deemed 	40655831	4196743
fred 	40646298	3569618
varying 	40638684	5617583
objectives 	40638012	3398666
仰 	40631166	984020
truly 	40617593	5493169
regiment 	40611309	2588845
nuestro 	40605277	1090124
1800 	40603176	5339936
jacques 	40601828	3145853
bajo 	40601219	1243528
泉 	40598923	1036472
woods 	40595591	4301365
planned 	40578040	5171499
议 	40578017	422358
444 	40557026	6089744
handle 	40553225	5476507
requiring 	40550168	5023212
镇 	40548853	605783
397 	40548763	6527131
イン 	40543822	436459
ministers 	40537168	3212605
opposed 	40537155	5194891
1869 	40534794	4028226
421 	40528199	6190257
mobile 	40527905	4425841
wissen 	40524642	1807849
rear 	40518520	3870226
sick 	40507926	4457953
520 	40502780	5636829
unsere 	40489151	1615995
года 	40466182	588638
indi 	40462912	7286410
gentlemen 	40460048	3278238
ings 	40458913	5424160
atomic 	40457760	2054833
petite 	40454859	2263889
自由 	40450584	860182
blind 	40442249	5360904
願 	40438540	784901
accord 	40429682	6142345
廣 	40425423	706442
pump 	40412420	2729465
grains 	40408808	3273512
arise 	40400935	5626980
literatur 	40400446	1831443
tx 	40396958	2050173
margin 	40388672	3952264
1.9 	40380931	3270612
agreements 	40360256	2847421
shot 	40355945	4103529
oxide 	40345835	1649577
silence 	40341586	4565434
背 	40339916	1071871
coup 	40324021	2879290
d'ailleurs 	40315281	1457804
provincial 	40309723	3405173
thoughts 	40306490	4363668
休 	40301878	1036055
bleibt 	40293152	1704613
franz 	40281804	2879337
prevention 	40262559	3622012
ми 	40251420	866654
truck 	40243469	2543792
cen 	40234847	6621654
406 	40228916	6237114
neck 	40209918	4136656
敎 	40202993	362596
adoption 	40198956	4467109
遗 	40196377	615118
favour 	40189137	2900492
electricity 	40187385	3103077
tur 	40185627	4305672
mate 	40181255	7157632
adjacent 	40172949	4529634
brazil 	40171112	2515394
campbell 	40159668	3642493
wool 	40157698	3149667
yeux 	40147818	1563182
cuba 	40143875	2686031
升 	40142025	838310
filing 	40123262	2118366
margaret 	40123095	2976428
powder 	40118987	3321408
monsieur 	40115576	2142064
federation 	40114028	2835824
adjusted 	40112613	4266947
australian 	40105239	2202713
monte 	40099418	4235542
wear 	40094791	4624204
puerto 	40094082	2309778
reich 	40086143	2662942
folge 	40061120	1920491
confirmed 	40027868	5121672
panel 	40022866	3038855
solchen 	40016763	1601037
user 	40009227	3232598
situated 	40005182	4508994
zweiten 	40002304	1743853
435 	39995311	6204664
subsequently 	39994376	5082891
servant 	39977892	4373617
健 	39965502	1037284
этои 	39962876	545549
ahora 	39959479	1072249
担 	39947186	836194
portrait 	39924007	3487635
宇 	39917356	1011536
pale 	39909716	4442027
women's 	39904396	2934338
